record_type	relative_path	sha256	source_repo	source_repo_head	exists	usable_for_primary_analysis	task011a_qc_status	note
structure	results/open_structure_007/tier1_shallow/A89_2C_155_156_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	b52fb78793b9e9a9c47c62547f9506083d02e39c2c1fd7f0f20d10e5ea316e0e	HRV-A89-2C-small-tag-and-insertion-site-prioritization	5a42628a927c6eebd3959b4115fd3f6f7915e3c6	True	yes	carried_forward	
structure	results/open_structure_007/tier1_shallow/A89_2C_203_204_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	0779902d88e6459a01e9126707883ce7a996c1fe6a8864e2c8c7e9fce1a42120	HRV-A89-2C-small-tag-and-insertion-site-prioritization	5a42628a927c6eebd3959b4115fd3f6f7915e3c6	True	yes	carried_forward	
structure	results/open_structure_007/tier1_shallow/A89_2C_224_225_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	732ba24d808f420503df22ad919745d0c6d8568a2f4bf91a13c47ee871f9f68d	HRV-A89-2C-small-tag-and-insertion-site-prioritization	5a42628a927c6eebd3959b4115fd3f6f7915e3c6	True	yes	carried_forward	
structure	results/open_structure_007/tier1_shallow/A89_2C_224_225_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	9b9505b4d78d05d66b533ca21bf0c16fcf56b5fbcc1373db4c7ec99e14691cc2	HRV-A89-2C-small-tag-and-insertion-site-prioritization	5a42628a927c6eebd3959b4115fd3f6f7915e3c6	True	yes	carried_forward	
structure	results/open_structure_007/tier1_shallow/A89_2C_248_249_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	c9aedd61dd46b3ae99f9027cf7011fae82dec33f3f83da6b1f2a9f470deb8610	HRV-A89-2C-small-tag-and-insertion-site-prioritization	5a42628a927c6eebd3959b4115fd3f6f7915e3c6	True	yes	carried_forward	
structure	results/open_structure_007/tier1_shallow/A89_2C_248_249_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	8bf0a4380789ace1cbdca62c6f82a26366e6f6807ee82b6106c513c1b9932d0a	HRV-A89-2C-small-tag-and-insertion-site-prioritization	5a42628a927c6eebd3959b4115fd3f6f7915e3c6	True	yes	carried_forward	
structure	results/open_structure_007/tier1_shallow/A89_2C_256_257_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	2087e5987934d99e5b401824582288d13a8be24aee3418147a40c852ecbf3126	HRV-A89-2C-small-tag-and-insertion-site-prioritization	5a42628a927c6eebd3959b4115fd3f6f7915e3c6	True	yes	carried_forward	
structure	results/open_structure_007/tier1_shallow/A89_2C_288_289_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	1eb3c85d3249da8c4d08de54b0d2b841f7a424937a096ff94d26e57e6bae15bf	HRV-A89-2C-small-tag-and-insertion-site-prioritization	5a42628a927c6eebd3959b4115fd3f6f7915e3c6	True	yes	carried_forward	
structure	results/open_structure_007/tier1_shallow/A89_2C_288_289_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	ec79fa8644377f0ce2e83c2103eaa3139df8c4b0b9aa4196a82f3d261489ba1d	HRV-A89-2C-small-tag-and-insertion-site-prioritization	5a42628a927c6eebd3959b4115fd3f6f7915e3c6	True	yes	carried_forward	
structure	results/open_structure_007/tier1_shallow/A89_2C_289_290_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	8dc128a6e8128afa10831bc8b23456ef733d105c2da35edfc72ff942bc6a28d7	HRV-A89-2C-small-tag-and-insertion-site-prioritization	5a42628a927c6eebd3959b4115fd3f6f7915e3c6	True	yes	carried_forward	
