source_repository	source_commit	absolute_path	relative_path	filename	sha256	structure_class	2c_state	2c_residue_range	n_2c_chains	antibody_present	antibody_type	VH_chain	VL_chain	refinement_state	registry_status	usable_for_primary_analysis	reason	task011a_qc_status	replacement_or_qc_note	chain_residue_summary	n_2c_like_chains	atom_count	vh_chain_guess	vl_chain_guess	finite_coordinates
BioPpao/HRV-Oligomers	3385e069fa8469253d8776b3adb3361759094faa	/public/home/yukang/HRV_Oligomers/HRV_A89_2C_HEXAMER/results_summary/selected_1x_9A5_weakposres_1ns_rep3_endpoint.pdb	HRV_A89_2C_HEXAMER/results_summary/selected_1x_9A5_weakposres_1ns_rep3_endpoint.pdb	selected_1x_9A5_weakposres_1ns_rep3_endpoint.pdb	3c0083aa7091b4de51319e81d765fa159711a25ed7f5088f74c253ae38edb884	1x9A5_hexamer_complex	full_length_hexamer	A:1-321(321);B:1-321(321);C:1-321(321);D:1-321(321);E:1-321(321);F:1-321(321);H:1-118(118);L:1-112(112)	6	yes	9A5_Fv	H	L	pbc_fixed_or_endpoint_refined	CURRENT	no	selected_for_task011_primary_or_context_analysis	duplicate_endpoint_export_do_not_count_as_independent	replaced_by_reexported_final_frame_from_unique_XTC						
BioPpao/HRV-Oligomers	3385e069fa8469253d8776b3adb3361759094faa	/public/home/yukang/HRV_Oligomers/HRV_A89_2C_HEXAMER/results_summary/selected_2x_9A5_candidate_01_E_rigidbody_80_after_em2_rechained.pdb	HRV_A89_2C_HEXAMER/results_summary/selected_2x_9A5_candidate_01_E_rigidbody_80_after_em2_rechained.pdb	selected_2x_9A5_candidate_01_E_rigidbody_80_after_em2_rechained.pdb	ae74c23c9116e88400d9a049011c77606e24bb9fd5184cb7dd89ed709d2a00c7	2x9A5_hexamer_complex	hexamer	A:1-321(321);B:1-321(321);C:1-321(321);D:1-321(321);E:1-321(321);F:1-321(321);H:1-118(118);L:1-112(112);M:1-118(118);N:1-112(112)	6	yes	9A5_Fv	M	N	unknown	NEGATIVE_OR_AUDIT_ONLY	audit_only	2x9A5_stress_test_not_primary_ranking	carried_forward							
BioPpao/HRV-Oligomers	3385e069fa8469253d8776b3adb3361759094faa	/public/home/yukang/HRV_Oligomers/HRV_A89_2C_HEXAMER/results_summary/selected_2x_9A5_top1_E_after_npt_100ps_rechained_pbc_fixed.pdb	HRV_A89_2C_HEXAMER/results_summary/selected_2x_9A5_top1_E_after_npt_100ps_rechained_pbc_fixed.pdb	selected_2x_9A5_top1_E_after_npt_100ps_rechained_pbc_fixed.pdb	8754a98d22f96d0d69e4b2c693ea61ef2c1e7180681706fbfad40ba7a635936d	2x9A5_hexamer_complex	hexamer	A:1-321(321);B:1-321(321);C:1-321(321);D:1-321(321);E:1-321(321);F:1-321(321);H:1-118(118);L:1-112(112);M:1-118(118);N:1-112(112)	6	yes	9A5_Fv	M	N	unknown	NEGATIVE_OR_AUDIT_ONLY	audit_only	2x9A5_stress_test_not_primary_ranking	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/deep_subset/A89_2C_289_290_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_022.pdb	results/open_structure_007/deep_subset/A89_2C_289_290_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_022.pdb	A89_2C_289_290_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_022.pdb	cf4f6776c69a22535020fad00e65e2ed003c909fce4b855d96d9112e459d55c2	tagged_monomer	full_length_tagged_monomer	A:1-326(326)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/deep_subset/A89_2C_289_290_G196_minimal_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_021.pdb	results/open_structure_007/deep_subset/A89_2C_289_290_G196_minimal_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_021.pdb	A89_2C_289_290_G196_minimal_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_021.pdb	44a76002f09f8fcd6365345e4a0eb3a1f73eac4a1561d5e01f5f8a1919987d18	tagged_monomer	full_length_tagged_monomer	A:1-326(326)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/deep_subset/A89_2C_289_290_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_022.pdb	results/open_structure_007/deep_subset/A89_2C_289_290_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_022.pdb	A89_2C_289_290_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_022.pdb	68e438d9c36d013b2ff501f00d9b18f68c876ce4207e949bd4c9e1f8ee5c01fd	tagged_monomer	full_length_tagged_monomer	A:1-329(329)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/deep_subset/A89_2C_289_290_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_021.pdb	results/open_structure_007/deep_subset/A89_2C_289_290_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_021.pdb	A89_2C_289_290_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_021.pdb	5ade658968d62559ec88763f70e7985d422ba02c75445719bdf27a807a9eee95	tagged_monomer	full_length_tagged_monomer	A:1-329(329)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/deep_subset/A89_2C_290_291_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_022.pdb	results/open_structure_007/deep_subset/A89_2C_290_291_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_022.pdb	A89_2C_290_291_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_022.pdb	568344930ede42f5a9d1bd93f3c5bdb85cbbfe29689ecd035d4bfaa955e7a172	tagged_monomer	full_length_tagged_monomer	A:1-329(329)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/deep_subset/A89_2C_290_291_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_021.pdb	results/open_structure_007/deep_subset/A89_2C_290_291_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_021.pdb	A89_2C_290_291_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_021.pdb	19ad9c403cdf784c251b5ac74574b63c85f823cce676e23d1c785c6fa3bd3880	tagged_monomer	full_length_tagged_monomer	A:1-329(329)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
BioPpao/HRV-A89-2C-small-tag-and-insertion-site-prioritization	ffa847557a4bce2461c87e1869f9a45abf05ed4b	/public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/results/open_structure_007/tier1_shallow/A89_2C_155_156_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	results/open_structure_007/tier1_shallow/A89_2C_155_156_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	A89_2C_155_156_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	b52fb78793b9e9a9c47c62547f9506083d02e39c2c1fd7f0f20d10e5ea316e0e	tagged_monomer	full_length_tagged_monomer	A:1-329(329)	1	no	none			ColabFold_unrelaxed	TAGGED_MODEL	yes	selected_for_task011_primary_or_context_analysis	carried_forward							
