record_id	role	source	url	local_path	sha256	size_bytes	notes
esm2_t6_8M_UR50D	model_checkpoint	fair-esm	https://dl.fbaipublicfiles.com/fair-esm/models/esm2_t6_8M_UR50D.pt	/public/home/yukang/.cache/torch/hub/checkpoints/esm2_t6_8M_UR50D.pt	46f002a9870c9bdecd0ea887acb1f9a38a6b561e8f8bf8a6990b679b9d31b928	30099493	Downloaded 2026-08-22 with fair-esm 2.0.0; not committed because model weights are cache artifacts.
esm2_t6_8M_UR50D_contact_regression	ancillary_checkpoint	fair-esm	https://dl.fbaipublicfiles.com/fair-esm/regression/esm2_t6_8M_UR50D-contact-regression.pt	/public/home/yukang/.cache/torch/hub/checkpoints/esm2_t6_8M_UR50D-contact-regression.pt	8f7a4557d57713b97ba0e484303007efb7230d25299c0ac47a0a1b12a87bbb9d	1511	Downloaded automatically by fair-esm; not used for PLL scoring.
