system_id	construct_id	junction	tag_form	replica	slurm_array_index	tpr_path	trajectory_path	gro_path	edr_path	cpt_path	log_path	tpr_exists	xtc_exists	gro_exists	edr_exists	cpt_exists	log_exists	xtc_size_bytes	final_time_ns	frame_count	native_ca_count	protein_atom_count	box_available	completion_log_has_finished_mdrun	pbc_transform_status	energy_status	temperature_K_mean	temperature_K_sd	temperature_K_drift	pressure_bar_mean	pressure_bar_sd	pressure_bar_drift	potential_kjmol_mean	potential_kjmol_sd	potential_kjmol_drift	total_energy_kjmol_mean	total_energy_kjmol_sd	total_energy_kjmol_drift
A89_2C_288_289_HA_112_321	A89_2C_288_289_HA	288|289	HA	2	10	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_2/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_2/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_2/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_2/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_2/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_2/prod_20ns.log	True	True	True	True	True	True	31272584	20.0	201	210	3410	True	True	mdanalysis_unwrap_center_applied	finite	300.00193901999	1.6565460612284961	-1.4665830000000142	4.721260177911046	134.22208958982424	359.398655	-584584.9206959021	842.2773860165219	-4128.3125	-476247.6033858071	1125.8694171683567	-4657.9375
A89_2C_288_289_HA_112_321	A89_2C_288_289_HA	288|289	HA	3	11	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_3/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_3/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_3/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_3/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_3/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_HA_112_321/replica_3/prod_20ns.log	True	True	True	True	True	True	31269084	20.0	201	210	3410	True	True	mdanalysis_unwrap_center_applied	finite	300.01572898250873	1.6267269319386086	1.622803000000033	0.021680291354322707	134.25662357199806	85.716065	-584607.4344390305	826.1297653242427	-4319.0625	-476265.13782171416	1108.805338386609	-3733.03125
A89_2C_288_289_MAP8_112_321	A89_2C_288_289_MAP8	288|289	MAP8	1	12	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_1/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_1/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_1/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_1/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_1/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_1/prod_20ns.log	True	True	True	True	True	True	31379696	20.0	201	210	3363	True	True	mdanalysis_unwrap_center_applied	finite	299.93427066666663	1.5894570180085916	-3.6426700000000096	-0.8524539390304849	134.9078518216894	-40.40309900000001	-586633.4819152923	842.1666058904715	-2676.1875	-477983.9394677661	1103.5498689270987	-3995.71875
A89_2C_288_289_MAP8_112_321	A89_2C_288_289_MAP8	288|289	MAP8	2	13	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_2/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_2/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_2/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_2/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_2/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_2/prod_20ns.log	True	True	True	True	True	True	31379692	20.0	201	210	3363	True	True	mdanalysis_unwrap_center_applied	finite	299.9918329845077	1.5548531434341486	-0.936126999999999	2.8719908200899558	138.2981650115308	98.250274	-586675.8579147926	853.0912652115337	-1749.1875	-478005.46376811597	1111.3758767601564	-2088.3125
A89_2C_288_289_MAP8_112_321	A89_2C_288_289_MAP8	288|289	MAP8	3	14	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_3/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_3/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_3/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_3/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_3/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_288_289_MAP8_112_321/replica_3/prod_20ns.log	True	True	True	True	True	True	31380628	20.0	201	210	3363	True	True	mdanalysis_unwrap_center_applied	finite	300.00891586906545	1.5737919638272486	0.25930800000003273	-4.2663633018490765	136.7234630846491	131.85627	-586683.1260307346	845.5634113132329	-3596.4375	-478006.5444933783	1108.5266380894157	-3502.5
A89_2C_290_291_MAP8_112_321	A89_2C_290_291_MAP8	290|291	MAP8	1	15	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_1/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_1/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_1/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_1/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_1/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_1/prod_20ns.log	True	True	True	True	True	True	31377712	20.0	201	210	3363	True	True	mdanalysis_unwrap_center_applied	finite	300.06025747726136	1.5775051942083045	-3.70376600000003	0.6283762428785616	133.46245380949136	104.08964500000002	-586573.1552036481	800.9300921668853	-4.6875	-477885.4591610445	1062.3502272139456	-1346.25
A89_2C_290_291_MAP8_112_321	A89_2C_290_291_MAP8	290|291	MAP8	2	16	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_2/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_2/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_2/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_2/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_2/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_2/prod_20ns.log	True	True	True	True	True	True	31380136	20.0	201	210	3363	True	True	mdanalysis_unwrap_center_applied	finite	299.98609219390306	1.5757678110180553	2.5129699999999957	-0.34490939480259836	134.8862695125797	-139.534329	-586647.0145864568	847.2323096688974	-505.875	-477986.18292416295	1107.3726665614915	404.34375
A89_2C_290_291_MAP8_112_321	A89_2C_290_291_MAP8	290|291	MAP8	3	17	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_3/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_3/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_3/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_3/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_3/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_290_291_MAP8_112_321/replica_3/prod_20ns.log	True	True	True	True	True	True	31377148	20.0	201	210	3363	True	True	mdanalysis_unwrap_center_applied	finite	300.06147435632187	1.626318352422135	-5.17123399999997	3.1314183738130934	129.64659930446427	-62.71514500000001	-586559.9503685657	834.0846219658664	-204.25	-477871.8143115942	1120.188708711895	-2077.375
A89_2C_224_225_HA_112_321	A89_2C_224_225_HA	224|225	HA	1	18	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_HA_112_321/replica_1/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_HA_112_321/replica_1/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_HA_112_321/replica_1/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_HA_112_321/replica_1/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_HA_112_321/replica_1/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_HA_112_321/replica_1/prod_20ns.log	True	True	True	True	True	True	31299768	20.0	201	210	3410	True	True	mdanalysis_unwrap_center_applied	finite	300.0025039670165	1.6009856333712047	0.33605899999997746	-1.1965960239880058	133.55020425431258	-104.32153999999998	-585085.8929285357	840.8472734011923	92.4375	-476666.0581428036	1118.1949540062715	213.875
A89_2C_224_225_HA_112_321	A89_2C_224_225_HA	224|225	HA	2	19	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_HA_112_321/replica_2/prod_20ns.tpr	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_HA_112_321/replica_2/prod_20ns.xtc	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_HA_112_321/replica_2/prod_20ns.gro	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_HA_112_321/replica_2/prod_20ns.edr	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_HA_112_321/replica_2/prod_20ns.cpt	results/broad_dynamics_009/gromacs/systems/A89_2C_224_225_HA_112_321/replica_2/prod_20ns.log	True	True	True	True	True	True	31298168	20.0	201	210	3410	True	True	mdanalysis_unwrap_center_applied	finite	300.01261297801096	1.567077143130271	2.065735000000018	4.1698294292853575	132.86617114144843	0.6381830000000015	-585109.9051724138	817.247307065356	-1089.75	-476686.41740067466	1078.2240015276636	-343.21875
