path	file_name	suffix	size_bytes	sha256	git_status_at_start	task009_provenance_role	task010_handling_strategy
results/broad_dynamics_009/local_multimer/output/A89_2C_224_225_HA_trimer_tagged_WT_WT.a3m	A89_2C_224_225_HA_trimer_tagged_WT_WT.a3m	a3m	1326	20c32dde2c1cb9c16cb5afc30f74b3c0c3dc5f131e3db9147b2c9510d267154f	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_224_225_HA_trimer_tagged_WT_WT.done.txt	A89_2C_224_225_HA_trimer_tagged_WT_WT.done.txt	txt	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	untracked	local_multimer_raw_output_or_metadata	preserve_server_side;metadata_captured_by_task010_inventory
results/broad_dynamics_009/local_multimer/output/A89_2C_224_225_HA_trimer_tagged_WT_WT_coverage.png	A89_2C_224_225_HA_trimer_tagged_WT_WT_coverage.png	png	53297	229981940d2ac2d8960fae49e2f8a885f22a4828914e403631c90b39bf8d62e1	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_224_225_HA_trimer_tagged_WT_WT_pae.png	A89_2C_224_225_HA_trimer_tagged_WT_WT_pae.png	png	17232	a9857bf2b1cbab5982f2120fc12dc0615f84f56dcdbce258086ce04d31fc93d7	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_224_225_HA_trimer_tagged_WT_WT_plddt.png	A89_2C_224_225_HA_trimer_tagged_WT_WT_plddt.png	png	40958	95982628c5a15d1409931a24c5c94a28038ed545a6fad9a9f1a9b3c68f773008	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_224_225_HA_trimer_tagged_WT_WT_predicted_aligned_error_v1.json	A89_2C_224_225_HA_trimer_tagged_WT_WT_predicted_aligned_error_v1.json	json	4725929	e3023f6bed349aaa3ca387c0c9c8f3c9d89570bd13635742d32ecee5bb2da271	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_224_225_HA_trimer_tagged_WT_WT_scores_rank_001_alphafold2_multimer_v3_model_1_seed_052.json	A89_2C_224_225_HA_trimer_tagged_WT_WT_scores_rank_001_alphafold2_multimer_v3_model_1_seed_052.json	json	4730785	e4066a154ef1d6e6753fbf15168a2f8b863ab5da7568bf2f19aad265cae30b3f	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_224_225_HA_trimer_tagged_WT_WT_scores_rank_002_alphafold2_multimer_v3_model_1_seed_051.json	A89_2C_224_225_HA_trimer_tagged_WT_WT_scores_rank_002_alphafold2_multimer_v3_model_1_seed_051.json	json	4730785	e4066a154ef1d6e6753fbf15168a2f8b863ab5da7568bf2f19aad265cae30b3f	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_224_225_HA_trimer_tagged_WT_WT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_052.pdb	A89_2C_224_225_HA_trimer_tagged_WT_WT_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_052.pdb	pdb	622566	f3fd65d481e3878e53f5f5d16ccff9cf9ff0a57dd17945d131905d5293eb13e9	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_224_225_HA_trimer_tagged_WT_WT_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_051.pdb	A89_2C_224_225_HA_trimer_tagged_WT_WT_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_051.pdb	pdb	622566	f3fd65d481e3878e53f5f5d16ccff9cf9ff0a57dd17945d131905d5293eb13e9	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_248_249_MAP8_trimer_tagged_WT_WT.a3m	A89_2C_248_249_MAP8_trimer_tagged_WT_WT.a3m	a3m	1324	23de81f7410e1aa82892cc2f7f25068416d0c122f05d173c155ab2ad94ba615e	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_248_249_MAP8_trimer_tagged_WT_WT.done.txt	A89_2C_248_249_MAP8_trimer_tagged_WT_WT.done.txt	txt	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	untracked	local_multimer_raw_output_or_metadata	preserve_server_side;metadata_captured_by_task010_inventory
results/broad_dynamics_009/local_multimer/output/A89_2C_248_249_MAP8_trimer_tagged_WT_WT_coverage.png	A89_2C_248_249_MAP8_trimer_tagged_WT_WT_coverage.png	png	53298	c260c2996563299c738758dd402995816581f113bbe6120c620e52dbea835829	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
results/broad_dynamics_009/local_multimer/output/A89_2C_248_249_MAP8_trimer_tagged_WT_WT_pae.png	A89_2C_248_249_MAP8_trimer_tagged_WT_WT_pae.png	png	17232	4d0c304095a05d6604fdda85e13bd281f529b96149d158f88a740b7f9c4031ac	untracked	local_multimer_raw_output_or_metadata	preserve_server_side_not_git_added_bulk_or_nonfinite_raw_model_output
